,NameCorp,Cusip6,Cusip9
301,"Dynegy Holdings, LLC",26899X,007
302,"e.spire Communications, Inc.",269153,102
303,Eagle Bulk Shipping Inc.,Y2187A,119
304,"Eagle Food Centers, Inc.",269514,204
305,"Eagle Geophysical, Inc.",269524,104
306,"Eagle Picher Holdings, Inc. (2005)",269803,102
307,Eagle-Picher Industries Inc. (1991),269803,102
308,Eastern Airlines Inc.,276191,004
309,Eastman Kodak Company,277461,109
310,"Eddie Bauer Holdings, Inc.",071625,107
311,Edge Petroleum Corporation,279862,106
312,"Edison Brothers Stores, Inc. (1995)",280875,303
313,"Edison Brothers Stores, Inc. (1999)",280875,303
314,Edison Mission Energy,28199A,000
315,Edisto Resources Corp.,281067,306
316,Einstein Noah Bagel Corp,26874E,107
317,El Paso Electric Co.,283677,854
318,El Paso Refinery LP,283712,107
319,"Emerald Oil, Inc.",29101U,407
320,Emerson Radio Corp.,291087,203
321,Encompass Services Corporation,29255U,104
322,Endeavour International Corporation,29259G,200
323,Endo International plc,G30401,106
324,"Ener1, Inc.",29267A,203
325,"Energy Conversion Devices, Inc.",292659,109
326,Energy Future Holdings Corp.,29299Z,002
327,"Energy Partners, Ltd.",29270U,303
328,Energy XXI Ltd,G10082,140
329,Enron Corp.,293561,106
330,Enstar Group Inc.,29358L,10
331,"Entergy New Orleans, Inc.",29399X,006
332,Envirodyne Industries Inc.,92831R,201
333,"EOTT Energy Partners, L.P.",535763,106
334,EP Energy Corporation (EP Energy LLC),268785,102
335,Erickson Incorporated,29482P,100
336,Erly Industries Inc.,57685E,200
337,"Ernst Home Center, Inc.",295866,107
338,"eToys, Inc.",297862,104
339,"EV Energy Partners, L.P.",26926V,107
340,Evans Products Co.,299209,106
341,"Everex Systems, Inc.",300072,105
342,"EvergreenBancorp, Inc.",300349,10
343,"EXCO Resources, Inc.",269279,501
344,Exide Technologies (2002),302051,206
345,Exide Technologies (2013),302051,206
346,"Exodus Communications, Inc.",302088,109
347,"Extraction Oil & Gas, Inc.",30227M,105
348,F & M Distributors Inc.,302723,101
349,Fairchild Corporation,303698,104
350,Fairfield Communities Inc.,304231,301
351,"FairPoint Communications, Inc.",305560,302
352,Fairway Group Holdings Corp.,30603D,108
353,"Falcon Products, Inc.",306075,102
354,"Family Golf Centers, Inc.",30701A,106
355,"Farmland Industries, Inc.",311549,109
356,Federal-Mogul Corporation,313549,404
357,"Federated Department Stores, Inc.",314099,102
358,"Ferrellgas Partners, L.P. (Ferrellgas Partners Finance Corp.)",315293,100
359,FF Holdings Corporation,301923,108
360,Fibermark Inc.,315646,109
361,FiberTower Corporation,31567R,209
362,Financial Corp. of Santa Barbara,317441,103
363,Fine Air Services Corp.,31779P,108
364,Fine Host Corporation,317832,103
365,"Finlay Enterprises, Inc.",317884,203
366,"Finova Group, Inc.",317928,109
367,First Capital Holdings Corp.,319417,101
368,"First City Bancorporation of Texas, Inc.",319593,109
369,First Executive Corp.,320135,106
370,First Mariner Bancorp,320795,107
371,First Merchants Acceptance Corporation,320816,200
372,"First National Bancshares, Inc.",32111B,104
373,First NBC Bank Holding Company,32115D,106
374,First Place Financial Corp.,33610T,109
375,First RepublicBank Corp,336160,106
376,First State Bancorporation,336453,105
377,"Firstcorp, Inc.",33761P,104
378,FirstEnergy Solutions Corp.,32093Y,007
379,FirstFed Financial Corp.,337907,109
380,"FLAG Telecom Holdings, Ltd",G3529X,106
381,"Flagstar Companies, Inc.",338473,002
382,"Fleetwood Enterprises, Inc.",339099,103
383,"Fleming Companies, Inc.",339130,106
384,"Flooring America, Inc.",339756,108
385,"FLYi, Inc.",34407T,104
386,"Foamex International, Inc. (2005)",344123,203
387,"Foamex International, Inc. (2009)",344123,203
388,Focal Communications Corporation,344155,205
389,Footstar Inc.,344912,209
390,Forbes Energy Services Ltd.,345143,101
391,Forcenergy Inc,345206,205
392,Foresight Energy LP,34552U,104
393,Formica Corp.,346377,955
394,"Forstmann & Company, Inc.",34659D,104
395,Forum Group Inc.,349841,304
396,Fountain View Inc.,83099X,931
397,FoxMeyer Health Corp. (FoxMeyer Drug Co. only),351904,10
398,"FPA Medical Management, Inc.",302543,103
399,Franklin Bank Corp.,352451,108
400,Fremont General Corporation,82670C,100
401,"Fretter, Inc.",358321,206
402,"Friede Goldman Halter, Inc.",358430,106
403,Friedman's Inc.,358438,109
404,FriendFinder Networks Inc.,358453,306
405,"Frontier Airlines Holdings, Inc. (2008)",359059,102
406,Frontier Communications Corporation,35906A,306
407,Frontier Holdings Inc. (1986),359076,106
408,Frontline Capital Group,35921N,101
409,"Fruit of the Loom, Ltd.",G3682L,105
410,FSC Corporation,302622,10
411,"FTD Companies, Inc.",30281V,108
412,"FTS International, Inc.",30283W,203
413,"Furniture Brands International, Inc. (2013)",360921,209
414,"G. Heileman Brewing Co., Inc.",422878,934
415,"Galey & Lord, Inc. (2002)",36352K,103
416,"Galey & Lord, Inc. (2004)",36352K,103
417,Garrett Motion Inc.,366505,105
418,Gastar Exploration Inc.,36729W,202
419,"GateHouse Media, Inc.",367348,109
420,Gaylord Container Corp,368145,108
421,"GC Companies, Inc.",36155Q,109
